2018/12/30 Aircraft: ['Dornier Do 228']                      , Dep:    5S6, Arr:   KEUG, Flight Time: 00:17:12, Errors:   3, Landing: B,   195 ft/min,  1.19g,   0 bounce(s)
2018/12/30 Aircraft: ['Dornier Do 228']                      , Dep:   KEUG, Arr:   CYQQ, Flight Time: 00:35:25, Errors:   2, Landing: B,   121 ft/min,  1.16g,   0 bounce(s)
2019/ 1/ 2 Aircraft: ['Bae Jetstream 32. X-Plane 11 V.1.1']  , Dep:   CYQQ, Arr:   CYZT, Flight Time: 00:23:18, Errors:   0, Landing: B,   125 ft/min,  1.36g,   0 bounce(s)
2019/ 1/ 2 Aircraft: ['Bae Jetstream 32. X-Plane 11 V.1.1']  , Dep:   CYZT, Arr:   PANT, Flight Time: 00:37:06, Errors:   3, Landing: A,    95 ft/min,  1.22g,   1 bounce(s)
2019/ 1/ 2 Aircraft: ['Bae Jetstream 32. X-Plane 11 V.1.1']  , Dep:   PANT, Arr:   PAKT, Flight Time: 01:12:08, Errors:   0, Landing: B,   115 ft/min,  1.18g,   1 bounce(s)
2019/ 1/ 2 Aircraft: ['Bae Jetstream 32. X-Plane 11 V.1.1']  , Dep:   PAKT, Arr:   PAJN, Flight Time: 00:14:34, Errors:   1, Landing: B,   241 ft/min,  1.48g,   0 bounce(s)
2019/ 1/ 2 Aircraft: ['Dornier Do 228']                      , Dep:   NONE, Arr:   PAYA, Flight Time: 00:12:25, Errors:   0, Landing: A,    82 ft/min,  1.14g,   0 bounce(s)
2019/ 1/ 3 Aircraft: ['Dornier Do 228']                      , Dep:   PAYA, Arr:   PAVD, Flight Time: 00:27:15, Errors:   4, Landing: A,    86 ft/min,  1.5 g,   0 bounce(s)
2019/ 1/ 3 Aircraft: ['Dornier Do 228']                      , Dep:   PAVD, Arr:   PADQ, Flight Time: 00:13:12, Errors:   1, Landing: B,   139 ft/min,  1.50g,   0 bounce(s)
2019/ 1/ 3 Aircraft: ['Dornier Do 228']                      , Dep:   PADQ, Arr:   PACD, Flight Time: 00:15:21, Errors:   1, Landing: A,    47 ft/min,  1.2 g,   0 bounce(s)
2019/ 1/ 3 Aircraft: ['Dornier Do 228']                      , Dep:   PACD, Arr:   PAAM, Flight Time: 01:19:03, Errors:   1, Landing: D,   413 ft/min,  2.0 g,   0 bounce(s)
2019/ 1/ 3 Aircraft: ['Dornier Do 228']                      , Dep:   PAAK, Arr:   PADK, Flight Time: 00:16:26, Errors:   0, Landing: B,   106 ft/min,  1.46g,   0 bounce(s)
2019/ 1/ 4 Aircraft: ['Dornier Do 228']                      , Dep:   PADK, Arr:    ATU, Flight Time: 00:23:39, Errors:   2, Landing: A,    78 ft/min,  1.13g,   0 bounce(s)
2019/ 1/ 4 Aircraft: ['Dornier Do 228']                      , Dep:   PATU, Arr:   RJCN, Flight Time: 01:01:26, Errors:   2, Landing: C,   324 ft/min,  1.47g,   0 bounce(s)
2019/ 2/ 3 Aircraft: ['Bonanza F33A for X-Plane 11']         , Dep:   KGNG, Arr:    U00, Flight Time: 00:22:13, Errors:   1, Landing: B,   181 ft/min,  1.26g,   0 bounce(s)
2019/ 2/ 5 Aircraft: ['A plane, with wings, it flies, sometim, Dep:   PAJN, Arr:   PAKT, Flight Time: 00:51:16, Errors:   1, Landing: C,   250 ft/min,  1.70g,   1 bounce(s)
2019/ 2/ 5 Aircraft: ['Dornier Do 228']                      , Dep:   RJCN, Arr:   RJCK, Flight Time: 00:09:40, Errors:   0, Landing: B,   242 ft/min,  1.16g,   0 bounce(s)
2019/ 2/10 Aircraft: ['A plane, with wings, it flies, sometim, Dep:   CYQU, Arr:   CYLW, Flight Time: 00:54:38, Errors:   0, Landing: C,   232 ft/min,  2.37g,   1 bounce(s)
2019/ 2/11 Aircraft: ['Rotate MD-80']                        , Dep:   PAKT, Arr:   CYLW, Flight Time: 01:28:06, Errors:   3, Landing: B,   176 ft/min,  1.60g,   0 bounce(s)
2019/ 2/14 Aircraft: Rotate MD-80                            , Dep:   NONE, Arr:   MGGT, Flight Time: 00:03:18, Errors:   4, Landing: C,   259 ft/min,  2.1g,    1 bounce(s)
2019/ 2/17 Aircraft: Rotate MD-80                            , Dep:   SVMI, Arr:   TTPP, Flight Time: 00:59:09, Errors:   1, Landing: B,   131 ft/min,  1.5g,    3 bounce(s)
2019/ 2/21 Aircraft: King Air C90                            , Dep:   NONE, Arr:   FYWH, Flight Time: 00:02:52, Errors:  11, Landing: F,   691 ft/min,  2.30g,   1 bounce(s)
2019/ 2/21 Aircraft: King Air C90                            , Dep:   FYWH, Arr:   FYWH, Flight Time: 00:02:42, Errors:   2, Landing: D,   460 ft/min,  3.32g,   0 bounce(s)
2019/ 2/21 Aircraft: King Air C90                            , Dep:   FYWH, Arr:   FYWH, Flight Time: 00:01:37, Errors:   1, Landing: F,  1062 ft/min,  5.91g,   0 bounce(s)
2019/ 2/21 Aircraft: King Air C90                            , Dep:   FYWH, Arr:   FYWH, Flight Time: 00:02:18, Errors:   0, Landing: B,   287 ft/min,  0.95g,   1 bounce(s)
2019/ 2/21 Aircraft: King Air C90                            , Dep:   FYWH, Arr:   FYWH, Flight Time: 00:08:40, Errors:   2, Landing: F,   488 ft/min,  4.01g,   1 bounce(s)
2019/ 2/21 Aircraft: King Air C90                            , Dep:   FY2P, Arr:   FY2P, Flight Time: 00:02:47, Errors:   1, Landing: F,   799 ft/min,  2.85g,   0 bounce(s)
2019/ 2/21 Aircraft: 727 Series Pro V3 727-200Adv            , Dep:   CYVR, Arr:   PAJN, Flight Time: 01:15:47, Errors:   3, Landing: B,   107 ft/min,  1.38g,   0 bounce(s)
